Date,Open,High,Low,Close,Volume
2023-01-02,100.5,101.2,99.8,100.9,1000000
2023-01-03,100.9,102.0,100.3,101.8,1200000
2023-01-04,101.8,103.0,101.5,102.5,1300000
2023-01-05,102.5,103.5,102.0,103.2,1100000
2023-01-06,103.2,104.0,102.8,103.8,1400000
2023-01-09,103.8,104.5,103.0,104.1,1500000
2023-01-10,104.1,104.8,103.5,104.7,1350000
2023-01-11,104.7,105.2,104.2,105.0,1250000
2023-01-12,105.0,105.5,104.5,105.3,1450000
2023-01-13,105.3,106.0,105.0,105.8,1550000
2023-01-16,105.8,106.5,105.5,106.2,1600000
2023-01-17,106.2,106.8,105.8,106.5,1700000
2023-01-18,106.5,107.0,106.0,106.8,1650000
2023-01-19,106.8,107.5,106.3,107.1,1800000
2023-01-20,107.1,107.8,106.5,107.5,1900000
